id,parent_id,tipo,sku,nombre,old_stock,new_stock,new_status,motivo
19802,19800,variation,850026029055,WHEY 100% VAINILLA 2 LBS NUTREX,30,30,instock,inventario
19801,19800,variation,850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,23,23,instock,inventario
19793,19790,variation,859400007580,ISOFIT CHOCOLATE SHAKE 70 SERV 5 LBS NUTREX,2,2,outofstock,inventario
19792,19790,variation,853237000769,ISOFIT COOKIES AND CREAM 70SRV 5 LBS NUTREX,4,4,outofstock,inventario
19791,19790,variation,859400007566,ISOFIT VANILLA BEAN 70SRV 5LBS NUTREX,0,0,outofstock,inventario
19782,19778,variation,859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,25,25,instock,inventario
19781,19778,variation,859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,9,9,instock,inventario
19780,19778,variation,853237000738,PROTEINA ISOFIT COOKIES &CREAM 30 SERV. NUTREX,19,19,instock,inventario
19779,19778,variation,853237000837,ISOFIT 30 SERVING STRAWERRY NUTREX,15,17,instock,inventario
19760,19744,variation,810121056738,ISOJECT TIRAMISU 1.76 LBS ISOJET EVOGEN,2,2,outofstock,inventario
19759,19744,variation,810121056684,ISOJECT VAINILLA COLD BREW COOFFE 1.76 LBSEVOGEN,3,3,outofstock,inventario
19758,19744,variation,810121056707,ISOJECT OATMEAL COOKIE 1.76 LBS ISOJET EVOGEN,3,3,outofstock,inventario
19757,19744,variation,810121056721,ISOJECT ICE CREAM SANDWICH 1.82 LBS ISOJET EVOGEN,6,6,outofstock,inventario
19756,19744,variation,810121056455,ISOJECT MINI CRISPY COOKIES 1.87 LBS EVOGEN,5,5,outofstock,inventario
19755,19744,variation,810121056714,ISOJECT CHURRO 1.71 LBS ISOJET EVOGEN,2,2,outofstock,inventario
19754,19744,variation,817189029087,ISOJECT CINAMON CRUNCH 1.77 EVOGEN,2,2,outofstock,inventario
19753,19744,variation,810121056462,ISOJECT COOKIES AND CREAM 1.82 ISOJET EVOGEN,2,2,outofstock,inventario
19752,19744,variation,810121052105,ISOJECT FRUITYCREREAL 1.83 LBS ISOJET EVOGEN,9,9,instock,inventario
19751,19744,variation,817189020237,ISOJECT CHOCOLATE PEANUT BUTTER 1.97 LBS EVOGEN,8,8,instock,inventario
19750,19744,variation,810121056417,ISOJECT CHOCOLATE PEANUTBUTTER BANANA 1.76 LBS ISOJET EVOGEN,5,5,outofstock,inventario
19749,19744,variation,810121056660,ISOJECT CHOCOLATE - 25 SRV EVOGEN,3,3,outofstock,inventario
19748,19744,variation,817189020213,ISOJECT VANILLA BEAN 25 SRV. EVOGEN,1,1,outofstock,inventario
19747,19744,variation,810121056899,ISOJECT BIRTHDAY CAKE 1.71 LBS ISOJET EVOGEN,6,6,outofstock,inventario
19737,19734,variation,810121056158,LIPOCIDE-IR JUCY GRAPPE-EVOGEN,18,18,instock,inventario
19736,19734,variation,817189027793,LIPOCIDE- IR FRUIT PONCHS-EVOGEN,42,42,instock,inventario
19735,19734,variation,810121056141,LIPOCIDE-IR TANGERINE-EVOGEN,18,18,instock,inventario
19432,19430,variation,810121058015,CELL K.E.M PEACH RING,6,6,outofstock,inventario
19431,19430,variation,7503029523005,CELL K.E.M PR V.2 TROPIC THUNDER -EVOGEN,17,17,instock,inventario
19416,19402,variation,810121058695,EVP XTREME PATRIOT POP,3,3,outofstock,inventario
19415,19402,variation,817189025270,EVP XTREME N.O.TROPIC THUNDER- EVOGEN,8,8,instock,inventario
19414,19402,variation,817189024587,EVPXTREME SOUR WATERMELON,5,5,outofstock,inventario
19413,19402,variation,817189028530,EVP XTREMEN.O. SOUR CANDY-EVOGEN,3,3,outofstock,inventario
19412,19402,variation,817189028240,EVP XTREME N.O. BLUEBERRY APPLE-EVOGEN,4,4,outofstock,inventario
19411,19402,variation,810121053553,EVP XTREME N.O. STRAWERRY LEMONADE-EVOGEN,4,4,outofstock,inventario
19410,19402,variation,817189029117,EVP XTREME SMASHIN PASSION ORANGE,8,8,instock,inventario
19409,19402,variation,810121053812,EVP XTREME N.O. POLAR CHERRY FROST-EVOGEN,8,8,instock,inventario
19408,19402,variation,810121053966,EVP XTREME PEACH RINGS,3,3,outofstock,inventario
19407,19402,variation,810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,6,6,outofstock,inventario
19406,19402,variation,810121057940,EVP XTREME N.O. JUCY GRAPPE-EVOGEN,4,4,outofstock,inventario
19405,19402,variation,810121057254,EVP XTREME N.O CITRUS CANDY-EVOGEN,4,4,outofstock,inventario
19404,19402,variation,810121058961,EVP XTREME BLACK BERRY LEMONADA,12,12,instock,inventario
19367,19364,variation,817189024594,EVP -AQ PREMIUN LIQUIDO MUSCLE VOLUMIZER UN FLAVORED,0,0,outofstock,inventario
19366,19364,variation,810121055328,EVP-AQ TROPIC THUNDER- EVOGEN,5,6,outofstock,inventario
