sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,cambiara
817189028257,EVP 3D BLUEBERRY APPLE-EVOGEN,variation,9,instock,10,instock,1,SI
810121057988,AMINO K.E.M JUICY GRAPE-EVOGEN,variation,5,instock,4,outofstock,-1,SI
612590416446,VITAMINA C- 1000MG -LANDFERFIT,simple,8,instock,8,instock,0,no
713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,variation,63,instock,63,instock,0,no
817189025270,EVP XTREME N.O.TROPIC THUNDER- EVOGEN,variation,8,instock,8,instock,0,no
705016353422,ISO 100 COCOA PEBBLES 3 LBS DYMATIZE,variation,11,instock,11,instock,0,no
842595134957,C4 PERFORMANCE ENERGY 16OZ BLUE RASPBERRY JOLLY RANCHER,variation,99,instock,99,instock,0,no
842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,variation,66,instock,66,instock,0,no
748927022940,AMINO ENERGY CONCOR GRAPE 585G,variation,108,instock,108,instock,0,no
705016500420,ISO 100 BIRTHDAY CAKE 5 LBS DYMATIZE,variation,16,instock,20,instock,4,SI
631656259957,MAS TECH EXTREME 2000- VAINILLA MILK SHAKE 12 LIBRAS,variation,2,instock,2,outofstock,0,SI
608631655431,CREATINA STIM PRO WATERMELON IMPULSE,variation,42,instock,46,instock,4,SI
850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,simple,396,instock,407,instock,11,SI
748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,variation,44,instock,45,instock,1,SI
75016600694,ISO 100 DUNKIN GLAZED DONUT1.34 LBS DYMATIZE,variation,2,instock,2,outofstock,0,SI
703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,variation,15,instock,15,instock,0,no
810139574361,VITAMINA- E 30 CAPSULAS,simple,21,instock,21,instock,0,no
850016779373,BROWNIE CHOCOLATE FUDGE,variation,274,instock,229,instock,-45,SI
850030689467,NAC REVIVE,simple,17,instock,20,instock,3,SI
817189024549,AMINO K.E.M PATRIOT POP- EVOGEN,variation,9,instock,9,instock,0,no
612590416033,MELATONINA 10 MG 120 CAPSULAS- LANDERFIT,simple,22,instock,22,instock,0,no
891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),variation,833,instock,833,instock,0,no
713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,variation,42,instock,42,instock,0,no
853237000202,NUTREX LIPO-6 CLA 45CT NUTREX,simple,7,instock,7,instock,0,no
842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,variation,54,instock,54,instock,0,no
810121056455,ISOJECT MINI CRISPY COOKIES 1.87 LBS EVOGEN,variation,5,instock,5,outofstock,0,SI
7503029523005,CELL K.E.M PR V.2 TROPIC THUNDER -EVOGEN,variation,15,instock,15,instock,0,no
817189028523,AMINO K.E.M SOUR CANDY- EVOGEN,variation,8,instock,7,instock,-1,SI
703556204785,CORESHIELD -XR MULTIVITAMINAS,simple,61,instock,61,instock,0,no
745560722039,L- CARNITINA 3500 MANGO ALEGRE IMPULSE,variation,13,instock,11,instock,-2,SI
705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,variation,205,instock,204,instock,-1,SI
817189020206,GLYCOJECT DE 2LB WILD BERRY EVOGEN,variation,8,instock,6,outofstock,-2,SI
