id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,aplicado
14413,0,simple,799142775425,BODY RESTORE 60 CAPSULAS- LANDERFIT,30,30,instock,instock,True,no_omitido
19781,19778,variation,859400007337,PROTEINA ISOFIT CHOCOLATE SHAKE 30 SERV. NUTREX,8,8,instock,instock,True,no_omitido
19407,19402,variation,810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,6,6,outofstock,instock,True,si
19190,19183,variation,705016353439,ISO 100 FRUTY PEBLLES 5 LBS DYMATIZE,13,13,instock,instock,True,no_omitido
9151,0,simple,612590416644,"VEGAN-PROTEIN VAINILLA 2,04 LBS LANDERFIT",54,54,instock,instock,True,no_omitido
19002,19000,variation,860007448928,RAW-SLEEP-MIXED BERRY (SOPORTE PARA UN MEJOR SUEÃO REPARADOR),19,19,instock,instock,True,no_omitido
19853,19843,variation,748927025255,AMINO ENERGY ORANGE 270 G,23,23,instock,instock,True,no_omitido
13393,0,simple,811445020405,ZMA PRIMA FORCE ABOLIC MINERAL SUPORT 180 CAPSULAS,4,4,outofstock,instock,True,si
9152,0,simple,612590416606,PROTEINA WOMENS CHOCOLATE BROWNIE 2.04 LBS LANDERFIT,1,1,outofstock,instock,True,si
19237,19235,variation,817189028981,ISOJECT DE 4 LBS CHOCOLATE EVOGEN,1,1,outofstock,instock,True,si
19755,19744,variation,810121056714,ISOJECT CHURRO 1.71 LBS ISOJET EVOGEN,2,2,outofstock,instock,True,si
13387,0,simple,810014675435,VITAMINA B 12 DE 2000 MG 240 CAPSULAS,0,0,outofstock,outofstock,True,si
9723,0,simple,666222097404,SUPER FAT BURNER + (MHP),77,77,instock,instock,True,no_omitido
19188,19183,variation,705016353446,ISO 100 COCOA PEBBLES 5 LBS DYMATIZE,5,5,outofstock,instock,True,si
19357,19354,variation,810121051290,CARNIGEN PREMIUN LIQUID RAINBON CANDY-EVOGEN,28,28,instock,instock,True,no_omitido
19023,19004,variation,850057175356,CBUM-ITHOLATE-PROTEIN-VANILLA-OA TMEAL COOKIE - 5LB (ISOLATADA),3,3,outofstock,instock,True,si
20465,20464,variation,842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,110,110,instock,instock,True,no_omitido
